HouseID,Area_sqft,Bedrooms,Bathrooms,Location,AgeOfHouse,HouseType,HasParking,DistanceFromCityCenter,HousePrice
1,1450,3,2,CityA,12,Apartment,Yes,5.4,8200000
2,980,2,1,CityB,4,Apartment,No,8.1,4600000
3,2100,4,3,CityA,22,Villa,Yes,12.4,13200000
4,1750,3,2,CityC,7,RowHouse,Yes,6.9,9100000
5,1250,2,2,CityA,15,Apartment,Yes,4.2,6700000
6,950,2,1,CityD,3,Apartment,No,9.8,4300000
7,2600,5,4,CityA,28,Villa,Yes,14.3,15500000
8,1400,3,2,CityB,11,RowHouse,No,7.5,7800000
9,1150,2,1,CityC,8,Apartment,Yes,5.7,5900000
10,3500,6,5,CityA,30,Villa,Yes,16.2,21000000
11,1020,2,1,CityB,5,Apartment,No,8.9,5100000
12,1900,4,3,CityA,18,RowHouse,Yes,10.4,11200000
13,1650,3,2,CityC,6,RowHouse,No,7.1,8400000
14,1300,2,2,CityA,12,Apartment,Yes,4.6,7200000
15,890,1,1,CityD,2,Apartment,No,10.5,4000000
16,2350,4,3,CityA,20,Villa,Yes,13.1,14000000
17,1500,3,2,CityB,9,RowHouse,Yes,6.8,8300000
18,1100,2,1,CityC,5,Apartment,Yes,5.9,5600000
19,2800,5,4,CityA,25,Villa,Yes,15.7,16800000
20,1250,2,2,CityB,7,Apartment,No,8.0,6600000
21,1600,3,2,CityA,14,RowHouse,Yes,6.1,8800000
22,1000,2,1,CityD,3,Apartment,No,9.3,4700000
23,2200,4,3,CityA,19,Villa,Yes,12.0,12800000
24,1750,3,2,CityC,11,RowHouse,No,7.8,9000000
25,1150,2,1,CityA,10,Apartment,Yes,6.0,6100000
26,920,1,1,CityD,4,Apartment,No,10.2,3900000
27,2600,5,4,CityB,23,Villa,Yes,14.8,16000000
28,1450,3,2,CityA,16,RowHouse,Yes,5.5,8200000
29,1300,2,2,CityC,9,Apartment,No,7.3,7000000
30,3100,6,5,CityA,27,Villa,Yes,17.1,19800000
31,950,1,1,CityD,2,Apartment,No,9.7,4200000
32,2000,4,3,CityA,13,RowHouse,Yes,11.1,11800000
33,1680,3,2,CityB,8,RowHouse,Yes,7.0,8600000
34,1220,2,1,CityC,6,Apartment,Yes,6.2,6400000
35,2800,5,4,CityA,21,Villa,Yes,14.0,17000000
36,1400,3,2,CityB,10,RowHouse,No,7.6,7950000
37,990,2,1,CityD,5,Apartment,No,9.0,5150000
38,2300,4,3,CityA,17,Villa,Yes,12.9,13600000
39,1750,3,2,CityC,8,RowHouse,Yes,6.4,9100000
40,1100,2,1,CityA,4,Apartment,Yes,5.8,5700000
41,890,1,1,CityD,1,Apartment,No,10.1,3800000
42,2400,4,3,CityA,20,Villa,Yes,13.6,14200000
43,1500,3,2,CityB,9,RowHouse,Yes,6.5,8150000
44,1300,2,1,CityC,7,Apartment,No,7.4,6950000
45,3000,6,5,CityA,29,Villa,Yes,16.8,20500000
46,1050,2,1,CityB,5,Apartment,No,8.2,5300000
47,2100,4,3,CityA,18,RowHouse,Yes,11.7,12000000
48,1600,3,2,CityC,9,RowHouse,No,7.2,8750000
49,1200,2,1,CityA,6,Apartment,Yes,6.0,6150000
50,950,1,1,CityD,3,Apartment,No,10.0,4100000
